date,open,high,low,close,volume,Volume
1991/8/23,0.482143015,0.495536,0.470981985,0.473214,0.380213737,240419200
1991/8/26,0.473214,0.477679014,0.46875,0.473214,0.380213737,101595200
1991/8/27,0.473214,0.482143015,0.470981985,0.482143015,0.387387961,100352000
1991/8/28,0.482143015,0.484375,0.474330008,0.475445986,0.382007152,107587200
1991/8/29,0.475445986,0.481027007,0.46875,0.473214,0.380213737,113355200
1991/8/30,0.473214,0.475445986,0.466518015,0.473214,0.380213737,66136000
1991/9/3,0.470981985,0.475445986,0.464286,0.46875,0.376626998,68376000
1991/9/4,0.470981985,0.470981985,0.458705008,0.459820986,0.369452745,119784000
1991/9/5,0.459820986,0.462054014,0.453125,0.455356985,0.365866214,77884800
1991/9/6,0.455356985,0.462054014,0.450893015,0.459820986,0.369452745,79273600
1991/9/9,0.462054014,0.477679014,0.459820986,0.475445986,0.382007152,126481600
1991/9/10,0.470981985,0.476563007,0.444195986,0.447544992,0.359589368,182840000
1991/9/11,0.453125,0.455356985,0.441964,0.450893015,0.362279415,178001600
1991/9/12,0.457589,0.457589,0.444195986,0.452008992,0.363176167,119212800
1991/9/13,0.446429014,0.448661,0.433036,0.434152007,0.348828554,166734400
1991/9/16,0.439731985,0.439731985,0.415179014,0.421875,0.338964343,205777600
1991/9/17,0.419643015,0.4375,0.417411,0.4375,0.351518601,135408000
1991/9/18,0.435268015,0.450893015,0.433036,0.447544992,0.359589368,121352000
1991/9/19,0.448661,0.450893015,0.441964,0.444195986,0.356898516,178337600
1991/9/20,0.444195986,0.455356985,0.441964,0.452008992,0.363176167,188148800
1991/9/23,0.446429014,0.453125,0.439731985,0.441964,0.355105221,87662400
1991/9/24,0.441964,0.449777007,0.430804014,0.448661,0.36048615,106097600
1991/9/25,0.448661,0.450893015,0.439731985,0.450893015,0.362279415,54465600
1991/9/26,0.448661,0.448661,0.4375,0.446429014,0.358692735,71220800
1991/9/27,0.446429014,0.453125,0.435268015,0.4375,0.351518601,62809600
1991/9/30,0.439731985,0.444195986,0.4375,0.441964,0.355105221,63201600
1991/10/1,0.439731985,0.457589,0.4375,0.453125,0.36407274,131376000
1991/10/2,0.462054014,0.462054014,0.441964,0.444195986,0.356898516,17987200
1991/10/3,0.446429014,0.446429014,0.424106985,0.426339,0.342551023,181003200
1991/10/4,0.428570986,0.435268015,0.424106985,0.430804014,0.346138507,79374400
1991/10/7,0.428570986,0.435268015,0.424106985,0.429688007,0.345241934,64702400
1991/10/8,0.429688007,0.433036,0.415179014,0.430804014,0.346138507,172256000
1991/10/9,0.430804014,0.435268015,0.426339,0.428570986,0.344344378,132742400
1991/10/10,0.435268015,0.4375,0.417411,0.426339,0.342551023,157214400
1991/10/11,0.429688007,0.436383992,0.415179014,0.433036,0.347931981,120052800
1991/10/14,0.4375,0.448661,0.435268015,0.445313007,0.357796073,111876800
1991/10/15,0.450893015,0.46875,0.446429014,0.46875,0.376626998,288209600
1991/10/16,0.46875,0.482143015,0.466518015,0.477679014,0.383801401,200872000
1991/10/17,0.473214,0.475445986,0.459820986,0.467633992,0.375730515,151614400
1991/10/18,0.492188007,0.495536,0.486606985,0.491070986,0.394561499,446958400
1991/10/21,0.493304014,0.498883992,0.484375,0.488839,0.392768025,116692800
1991/10/22,0.495536,0.502232015,0.486606985,0.486606985,0.390974581,208208000
1991/10/23,0.491070986,0.493304014,0.470981985,0.474330008,0.381110519,168828800
1991/10/24,0.473214,0.475445986,0.459820986,0.465402007,0.3739371,177900800
1991/10/25,0.462054014,0.466518015,0.453125,0.457589,0.367659569,106971200
1991/10/28,0.459820986,0.462054014,0.453125,0.459820986,0.369452745,77862400
1991/10/29,0.459820986,0.464286,0.453125,0.462054014,0.371246964,101236800
1991/10/30,0.464286,0.470981985,0.441964,0.444195986,0.356898516,148243200
1991/10/31,0.453125,0.462054014,0.446429014,0.459820986,0.369452745,231806400
1991/11/1,0.457589,0.464286,0.450893015,0.455356985,0.365866214,201264000
1991/11/4,0.453125,0.453125,0.433036,0.444195986,0.356898516,195294400
1991/11/5,0.444195986,0.450893015,0.435268015,0.435268015,0.349725276,215600000
1991/11/6,0.4375,0.439731985,0.424106985,0.428570986,0.344344378,236790400
1991/11/7,0.433036,0.450893015,0.430804014,0.444195986,0.356898516,296732800
1991/11/8,0.457589,0.479911,0.455356985,0.475445986,0.382007152,375827200
1991/11/11,0.477679014,0.486606985,0.475445986,0.479911,0.385594606,164942400
1991/11/12,0.484375,0.488839,0.479911,0.486606985,0.390974581,166689600
1991/11/13,0.482143015,0.486606985,0.477679014,0.483258992,0.388284653,185920000
1991/11/14,0.484375,0.493304014,0.482143015,0.488839,0.392768025,188003200
